(Index,Contest,Duration,0:0)
(001,Scala概述(上),18:51,18:51)
(001,Scala概述(下),26:53,45:44)
(002,Scala读法说明,00:50,46:34)
(003,Scala语言特点,08:41,55:15)
(004,Windows搭建Scala开发环境,09:10,64:25)
(005,Linux下搭建Scala开发环境,16:50,81:15)
(006,Scala插件安装,11:06,92:21)
(007,Scala快速入门,23:24,115:45)
(008,Idea开发Scala项目,12:02,127:47)
(009,Java模拟Scala的运行机制,11:36,139:23)
(010,字符串输出3种方式,18:44,158:7)
(011,关联Scala源码,09:34,167:41)
(013,编写规则 注意事项和手册,21:07,188:48)
(014,Scala变量的基本使用,13:25,202:13)
(015,Scala变量的注意事项,23:52,226:5)
(016,Scala数据类型的一览图,32:49,258:54)
(017,Scala整型,18:08,277:2)
(018,Scala浮点型,06:49,283:51)
(019,Scala字符类型,13:06,296:57)
(020,Null Nothing Unit,13:47,310:44)
(021,作业评讲,20:55,331:39)
(022,温故知新,07:05,338:44)
(023,值类型的自动转换,12:42,351:26)
(024,值类型的强制转换,15:01,366:27)
(025,值类型与String相互转换,14:58,381:25)
(026,标识符的使用说明,14:56,396:21)
(027,算术运算符,27:29,423:50)
(028,关系运算符,03:45,427:35)
(029,逻辑运算符,02:33,430:8)
(030,赋值运算符,13:31,443:39)
(031,运算符特别说明,07:35,451:14)
(032,运算符优先级,05:36,456:50)
(033,从控制台输入内容,11:37,468:27)
(034,顺序控制,04:48,473:15)
(035,单分支,08:48,482:3)
(036,双分支,11:25,493:28)
(037,多分支,12:52,506:20)
(038,分支控制注意事项,13:03,519:23)
(039,嵌套分支,15:11,534:34)
(040,for循环的两种方式,14:52,549:26)
(041,for循环守卫,04:57,554:23)
(042,引入变量,03:30,557:53)
(043,嵌套循环,05:05,562:58)
(044,循环返回值,07:56,570:54)
(045,循环的注意事项和练习题,17:49,588:43)
(046,While循环,09:36,598:19)
(047,DoWhile循环,05:34,603:53)
(048,多重循环应用案例,27:43,631:36)
(049,实现Break和Continue,25:17,656:53)
(050,循环中断作业评讲,10:17,667:10)
(051,函数式编程基本介绍,11:05,678:15)
(052,函数式编程几个重要概念,24:43,702:58)
(053,函数的必要性及学习方法,15:52,718:50)
(054,函数基本介绍和快速入门,11:26,730:16)
(055,函数(方法)的调用机制,10:27,740:43)
(056,函数递归调用的机制,18:46,759:29)
(057,函数递归的课堂练习,13:35,773:4)
(058,函数使用注意事项和细节1,34:32,807:36)
(059,函数使用注意事项和细节2,04:29,812:5)
(060,函数使用注意事项和细节3,12:36,824:41)
(061,过程,03:39,828:20)
(062,惰性函数,25:11,853:31)
(063,异常处理,32:38,886:9)
(064,函数练习题,06:38,892:47)
(065,面向对象编程介绍和入门案例,25:53,918:40)
(066,如何定义类和属性的使用,07:39,926:19)
(067,属性的注意事项,12:09,938:28)
(068,对象创建和对象内存布局图,15:52,954:20)
(069,作业布置,01:21,955:41)
(070,作业评讲,36:56,992:37)
(071,温故知新,07:23,999:60)
(072,方法,14:16,1014:16)
(073,类与对象的应用实例,07:02,1021:18)
(074,Java构造器回顾,07:23,1028:41)
(075,主构造器和辅助构造器,41:28,1070:9)
(076,主构造器和辅助构造器的细节,07:54,1078:3)
(077,属性高级部分,15:54,1093:57)
(078,对象创建流程分析,08:49,1102:46)
(079,包介绍和java包回顾,19:52,1122:38)
(080,Scala包的基本使用,07:46,1130:24)
(081,Scala包的特点说明,15:38,1146:2)
(082,包的使用细节和注意事项1,24:16,1170:18)
(083,包的使用细节和注意事项2,08:38,1178:56)
